"STATION","NAME","DATE","AWND","PRCP","SNOW","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT04","WT05","WT08","WT09","WT11"
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-07-10",,"0.01",,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-07-23",,"0.00","0.0",,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-07-25",,"0.00","0.0",,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-07-26",,"0.00","0.0",,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-07-27",,"0.00","0.0",,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-07-28",,"0.00","0.0",,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-07-29",,"0.00","0.0",,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-07-30",,"0.00","0.0",,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-07-31",,"0.00","0.0",,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-08-09",,"0.00","0.0",,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-08-13",,"0.00","0.0",,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-08-14",,"0.00","0.0",,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-08-15",,"0.00","0.0",,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-08-16",,"0.00","0.0",,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-08-17",,"0.00","0.0",,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-08-18",,"0.00","0.0",,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-08-19",,"0.00","0.0",,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-08-22",,"0.00","0.0",,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-08-23",,"0.00","0.0",,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-08-24",,"0.00","0.0",,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-08-29",,"0.00","0.0",,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-08-30",,"0.00","0.0",,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-08-31",,"0.00","0.0",,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-09-04",,"0.00","0.0",,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-09-07",,"0.00","0.0",,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-09-08",,"0.08",,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-09-09",,"0.02",,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-09-10",,"0.12",,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-09-11",,"0.02",,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-09-12",,"0.11",,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-09-13",,"0.10",,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-09-18",,"0.00","0.0",,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-09-19",,"0.00","0.0",,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-09-20",,"0.04",,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-09-21",,"0.01",,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-10-14",,"0.00","0.0",,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-10-15",,"0.00","0.0",,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-10-16",,"0.00","0.0",,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-10-17",,"0.00","0.0",,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-10-18",,"0.00","0.0",,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-10-19",,"0.00","0.0",,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-10-20",,"0.00","0.0",,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-10-21",,"0.00","0.0",,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-10-22",,"0.00","0.0",,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-11-02",,"0.00","0.0",,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-11-03",,"0.00","0.0",,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-11-04",,"0.21",,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-11-05",,"0.37",,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-11-06",,"0.00","0.0",,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-11-08",,"0.02",,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-11-11",,"0.00","0.0",,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","2018-11-12",,"0.00","0.0",,,,,,,,,,,
"US1WAKG0228","RUSTON 5.1 NNE, WA US","2018-01-01",,"0.00",,,,,,,,,,,,
"US1WAKG0228","RUSTON 5.1 NNE, WA US","2018-01-09",,"0.34",,,,,,,,,,,,
"US1WAKG0228","RUSTON 5.1 NNE, WA US","2018-01-10",,"0.03",,,,,,,,,,,,
"US1WAKG0228","RUSTON 5.1 NNE, WA US","2018-01-22",,"0.70",,,,,,,,,,,,
"US1WAKG0228","RUSTON 5.1 NNE, WA US","2018-01-24",,"1.25",,,,,,,,,,,,
"US1WAKG0228","RUSTON 5.1 NNE, WA US","2018-01-25",,"0.42",,,,,,,,,,,,
"US1WAKG0228","RUSTON 5.1 NNE, WA US","2018-01-26",,"0.42",,,,,,,,,,,,
"US1WAKG0228","RUSTON 5.1 NNE, WA US","2018-01-27",,"0.72",,,,,,,,,,,,
"US1WAKG0228","RUSTON 5.1 NNE, WA US","2018-01-30",,"1.25",,,,,,,,,,,,
"US1WAKG0228","RUSTON 5.1 NNE, WA US","2018-01-31",,"0.05",,,,,,,,,,,,
"US1WAKG0228","RUSTON 5.1 NNE, WA US","2018-02-16",,"0.15",,,,,,,,,,,,
"US1WAKG0228","RUSTON 5.1 NNE, WA US","2018-02-17",,"0.29",,,,,,,,,,,,
"US1WAKG0228","RUSTON 5.1 NNE, WA US","2018-02-22",,"0.15",,,,,,,,,,,,
"US1WAKG0228","RUSTON 5.1 NNE, WA US","2018-02-24",,"0.19",,,,,,,,,,,,
"US1WAKG0228","RUSTON 5.1 NNE, WA US","2018-04-07",,"0.51",,,,,,,,,,,,
"US1WAKG0228","RUSTON 5.1 NNE, WA US","2018-04-08",,"0.51",,,,,,,,,,,,
"US1WAKG0228","RUSTON 5.1 NNE, WA US","2018-04-09",,"0.25",,,,,,,,,,,,
"US1WAKG0228","RUSTON 5.1 NNE, WA US","2018-04-15",,"1.32",,,,,,,,,,,,
"US1WAKG0228","RUSTON 5.1 NNE, WA US","2018-04-16",,"0.15",,,,,,,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","2018-01-01",,"0.00",,,,,,,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","2018-01-02",,"0.00",,,,,,,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","2018-01-03",,"0.00",,,,,,,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","2018-01-04",,"0.00",,,,,,,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","2018-01-05",,"0.25",,,,,,,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","2018-01-06",,"0.57",,,,,,,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","2018-01-07",,"0.23",,,,,,,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","2018-01-08",,"0.41",,,,,,,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","2018-03-12",,"0.00",,,,,,,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","2018-03-13",,"0.00",,,,,,,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","2018-03-14",,"0.20",,,,,,,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","2018-03-15",,"0.02",,,,,,,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","2018-03-16",,"0.00",,,,,,,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","2018-03-17",,"0.00",,,,,,,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","2018-03-18",,"0.00",,,,,,,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","2018-03-19",,"0.00",,,,,,,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","2018-03-20",,"0.00",,,,,,,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","2018-03-21",,"0.00",,,,,,,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","2018-03-22",,"0.25",,,,,,,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","2018-03-23",,"0.29",,,,,,,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","2018-03-24",,"0.63",,,,,,,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","2018-03-25",,"0.00",,,,,,,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","2018-03-26",,"0.00",,,,,,,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","2018-03-27",,"0.00",,,,,,,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","2018-03-28",,"0.07",,,,,,,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","2018-03-29",,"0.00",,,,,,,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","2018-03-30",,"0.00",,,,,,,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","2018-03-31",,"0.00",,,,,,,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","2018-04-01",,"0.01",,,,,,,,,,,,
