"STATION","NAME","DATE","AWND","PRCP","SNOW","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09","WT11"
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-06-25",,"0.42",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-06-26",,"0.02",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-06-27",,"0.00",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-06-28",,"0.15",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-06-29",,"1.33",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-06-30",,"0.00",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-07-01",,"0.00",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-07-02",,"0.00",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-07-03",,"0.00",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-07-06",,,,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-07-07",,"0.41",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-07-08",,"0.00",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-07-09",,"0.00",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-07-10",,"0.00",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-07-11",,"0.73",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-07-15",,,,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-07-16",,"0.00",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-07-17",,"0.00",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-07-18",,"0.65",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-07-19",,"0.00",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-07-20",,"0.00",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-07-23",,,,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-07-24",,"0.00",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-07-25",,"0.00",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-07-27",,"0.90",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-07-28",,"0.00",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-07-29",,"0.00",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-07-30",,"0.00",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-07-31",,"0.00",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-08-08",,,,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-08-09",,"0.37",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-08-10",,"0.00",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-08-11",,"0.10",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-08-13",,,,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-08-14",,"0.15",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-08-15",,"0.02",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-08-16",,"0.00",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-08-17",,"0.00",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-08-19",,,,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-08-20",,"0.00",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-08-21",,"0.00",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-08-22",,"0.00",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-08-23",,"0.60",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-08-28",,,,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-08-29",,"0.00",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-08-30",,"0.00",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-08-31",,"0.00",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-09-03",,,,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-09-04",,"0.00",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-09-05",,"0.00",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-09-06",,"0.00",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-09-07",,"0.15",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-09-10",,,,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-09-11",,"1.00",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-09-12",,"0.00",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-09-13",,"1.00",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-09-15",,,,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-09-16",,"0.00",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-09-17",,"0.00",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-09-18",,"0.05",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-09-19",,"3.33",,,,,,,,,,,,,
